Question ID,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
11,Container With Most Water,container-with-most-water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container. ","Array,Two Pointers,Greedy",Medium,53.9,2673605,1441824,16437,930,"The aim is to maximize the area formed between the vertical lines. The area of any container is calculated using the shorter line as length and the distance between the lines as the width of the rectangle.


Area = length of shorter vertical line * distance between lines


We can definitely get the maximum width container as the outermost lines have the maximum distance between them. However, this container might not be the maximum in size as one of the vertical lines of this container could be really short. Start with the maximum width container and go to a shorter width container if there is a vertical line longer than the current containers shorter line. This way we are compromising on the width but we are looking forward to a longer length container.",42,Trapping Rain Water
12,Integer to Roman,integer-to-roman,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given an integer, convert it to a roman numeral. ","Hash Table,Math,String",Medium,59.4,1135654,674026,3029,3953,,"13,273","Roman to Integer,Integer to English Words"
13,Roman to Integer,roman-to-integer,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given a roman numeral, convert it to an integer. ","Hash Table,Math,String",Easy,57.9,2611149,1511737,3805,265,Problem is simpler to solve by working the string from back to front and using a map.,12,Integer to Roman
14,Longest Common Prefix,longest-common-prefix,"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string """". ",String,Easy,39.3,3891029,1529495,7636,2930,,,
15,3Sum,3sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets. ","Array,Two Pointers,Sorting",Medium,31.0,6090299,1886780,17218,1653,"So, we essentially need to find three numbers x, y, and z such that they add up to the given value. If we fix one of the numbers say x, we are left with the two-sum problem at hand! For the two-sum problem, if we fix one of the numbers, say x, we have to scan the entire array to find the next numbery which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought for two-sum is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","1,16,18,259","Two Sum,3Sum Closest,4Sum,3Sum Smaller"
16,3Sum Closest,3sum-closest,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution. ","Array,Two Pointers,Sorting",Medium,47.1,1665933,784188,5673,242,,"15,259","3Sum,3Sum Smaller"
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digit to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.  ","Hash Table,String,Backtracking",Medium,53.5,2146094,1147569,9594,668,,"22,39,401","Generate Parentheses,Combination Sum,Binary Watch"
18,4Sum,4sum,"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that: You may return the answer in any order. ","Array,Two Pointers,Sorting",Medium,37.2,1528323,568804,6003,685,,"1,15,454,2122","Two Sum,3Sum,4Sum II,Count Special Quadruplets"
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"Given the head of a linked list, remove the nth node from the end of the list and return its head. ","Linked List,Two Pointers",Medium,38.2,3510223,1340984,9607,457,Maintain two pointers and update one with a delay of n steps.,"528,1618,2216","Swapping Nodes in a Linked List,Delete N Nodes After M Nodes of a Linked List,Delete the Middle Node of a Linked List"
20,Valid Parentheses,valid-parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: ","String,Stack",Easy,40.9,5271267,2154237,12523,554,"An interesting property about a valid parenthesis expression is that a sub-expression of a valid expression should also be a valid expression. (Not every sub-expression) e.g.


{ { } [ ] [ [ [ ] ] ] } is VALID expression
          [ [ [ ] ] ]    is VALID sub-expression
  { } [ ]                is VALID sub-expression


Can we exploit this recursive structure somehow? What if whenever we encounter a matching pair of parenthesis in the expression, we simply remove it from the expression? This would keep on shortening the expression. e.g.


{ { ( { } ) } }
      |_|

{ { (      ) } }
    |______|

{ {          } }
  |__________|

{                }
|________________|

VALID EXPRESSION! The stack data structure can come in handy here in representing this recursive structure of the problem. We can't really process this from the inside out because we don't have an idea about the overall structure. But, the stack can help us process this recursively i.e. from outside to inwards.","22,32,301,1045,2221","Generate Parentheses,Longest Valid Parentheses,Remove Invalid Parentheses,Check If Word Is Valid After Substitutions,Check if a Parentheses String Can Be Valid"
21,Merge Two Sorted Lists,merge-two-sorted-lists,You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list. ,"Linked List,Recursion",Easy,60.2,3519901,2118031,11753,1070,,"23,88,148,244,1774,2071","Merge k Sorted Lists,Merge Sorted Array,Sort List,Shortest Word Distance II,Add Two Polynomials Represented as Linked Lists,Longest Common Subsequence Between Sorted Arrays"
22,Generate Parentheses,generate-parentheses,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. ","String,Dynamic Programming,Backtracking",Medium,69.9,1475969,1032134,12456,483,,"17,20,2221","Letter Combinations of a Phone Number,Valid Parentheses,Check if a Parentheses String Can Be Valid"
23,Merge k Sorted Lists,merge-k-sorted-lists,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it. ","Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort",Hard,46.9,2627265,1233044,11827,462,,"21,264","Merge Two Sorted Lists,Ugly Number II"
24,Swap Nodes in Pairs,swap-nodes-in-pairs,"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.) ","Linked List,Recursion",Medium,58.6,1452282,851081,6765,289,,"25,528","Reverse Nodes in k-Group,Swapping Nodes in a Linked List"
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed. ","Linked List,Recursion",Hard,50.9,983085,500025,6837,485,,"24,528,2196","Swap Nodes in Pairs,Swapping Nodes in a Linked List,Reverse Nodes in Even Length Groups"
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements. Return k after placing the final result in the first k slots of nums. Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory. Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ","Array,Two Pointers",Easy,48.7,4249259,2071403,6360,9901,"In this problem, the key point to focus on is the input array being sorted. As far as duplicate elements are concerned, what is their positioning in the array when the given array is sorted? Look at the image above for the answer. If we know the position of one of the elements, do we also know the positioning of all the duplicate elements? We need to modify the array in-place and the size of the final array would potentially be smaller than the size of the input array. So, we ought to use a two-pointer approach here. One, that would keep track of the current element in the original array and another one for just the unique elements. Essentially, once an element is encountered, you simply need to bypass its duplicates and move on to the next unique element.","27,80","Remove Element,Remove Duplicates from Sorted Array II"
27,Remove Element,remove-element,"Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The relative order of the elements may be changed. Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements. Return k after placing the final result in the first k slots of nums. Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory. Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ","Array,Two Pointers",Easy,51.1,2423858,1239786,3451,5135,"The problem statement clearly asks us to modify the array in-place and it also says that the element beyond the new length of the array can be anything. Given an element, we need to remove all the occurrences of it from the array. We don't technically need to remove that element per-say, right? We can move all the occurrences of this element to the end of the array. Use two pointers! Yet another direction of thought is to consider the elements to be removed as non-existent. In a single pass, if we keep copying the visible elements in-place, that should also solve this problem for us.","26,203,283","Remove Duplicates from Sorted Array,Remove Linked List Elements,Move Zeroes"
28,Implement strStr(),implement-strstr,"Implement strStr(). Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack. Clarification: What should we return when needle is an empty string? This is a great question to ask during an interview. For the purpose of this problem, we will return 0 when needle is an empty string. This is consistent to C's strstr() and Java's indexOf(). ","Two Pointers,String,String Matching",Easy,35.7,3395848,1213333,3863,3591,,"214,459","Shortest Palindrome,Repeated Substring Pattern"
29,Divide Two Integers,divide-two-integers,"Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator. The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2. Return the quotient after dividing dividend by divisor. Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [−231, 231 − 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231. ","Math,Bit Manipulation",Medium,17.0,2716082,462278,2666,9333,,,
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"You are given a string s and an array of strings words of the same length. Return all starting indices of substring(s) in s that is a concatenation of each word in words exactly once, in any order, and without any intervening characters. You can return the answer in any order. ","Hash Table,String,Sliding Window",Hard,28.0,894344,250616,1893,1828,,76,Minimum Window Substring
31,Next Permutation,next-permutation,"A permutation of an array of integers is an arrangement of its members into a sequence or linear order. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory. ","Array,Two Pointers",Medium,36.3,2166111,787106,10346,3360,,"46,47,60,267,1978","Permutations,Permutations II,Permutation Sequence,Palindrome Permutation II,Minimum Adjacent Swaps to Reach the Kth Smallest Number"
32,Longest Valid Parentheses,longest-valid-parentheses,"Given a string containing just the characters '(' and ')', find the length of the longest valid (well-formed) parentheses substring. ","String,Dynamic Programming,Stack",Hard,31.2,1518755,474545,7527,256,,20,Valid Parentheses
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Medium,37.7,3795739,1431906,13769,879,,"81,153,2273","Search in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Pour Water Between Buckets to Make Water Levels Equal"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Medium,40.0,2648073,1058127,10191,284,,"278,2165,2210","First Bad Version,Plates Between Candles,Find Target Indices After Sorting Array"
35,Search Insert Position,search-insert-position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Easy,42.3,3247274,1374840,7432,401,,278,First Bad Version
36,Valid Sudoku,valid-sudoku,Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules: Note: ,"Array,Hash Table,Matrix",Medium,54.9,1293488,710020,4857,695,,"37,2254","Sudoku Solver,Check if Every Row and Column Contains All Numbers"
37,Sudoku Solver,sudoku-solver,Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules: The '.' character indicates empty cells. ,"Array,Backtracking,Matrix",Hard,53.7,634540,340851,4947,149,,"36,1022","Valid Sudoku,Unique Paths III"
38,Count and Say,count-and-say,"The count-and-say sequence is a sequence of digit strings defined by the recursive formula: To determine how you ""say"" a digit string, split it into the minimal number of groups so that each group is a contiguous section all of the same character. Then for each group, say the number of characters, then say the character. To convert the saying into a digit string, replace the counts with a number and concatenate every saying. For example, the saying and conversion for digit string ""3322251"": Given a positive integer n, return the nth term of the count-and-say sequence. ",String,Medium,48.6,1265537,614433,1383,3480,"The following are the terms from n=1 to n=10 of the count-and-say sequence:

 1.     1
 2.     11
 3.     21
 4.     1211
 5.     111221 
 6.     312211
 7.     13112221
 8.     1113213211
 9.     31131211131221
10.     13211311123113112211 To generate the nth term, just count and say the n-1th term.","271,443","Encode and Decode Strings,String Compression"
39,Combination Sum,combination-sum,"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. It is guaranteed that the number of unique combinations that sum up to target is less than 150 combinations for the given input. ","Array,Backtracking",Medium,65.3,1614657,1054189,10510,224,,"17,40,77,216,254,377","Letter Combinations of a Phone Number,Combination Sum II,Combinations,Combination Sum III,Factor Combinations,Combination Sum IV"
40,Combination Sum II,combination-sum-ii,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target. Each number in candidates may only be used once in the combination. Note: The solution set must not contain duplicate combinations. ","Array,Backtracking",Medium,52.3,1035167,541022,5048,134,,39,Combination Sum
41,First Missing Positive,first-missing-positive,"Given an unsorted integer array nums, return the smallest missing positive integer. You must implement an algorithm that runs in O(n) time and uses constant extra space. ","Array,Hash Table",Hard,35.9,1845590,662571,9261,1303,Think about how you would solve the problem in non-constant space.  Can you apply that logic to the existing space? We don't care about duplicates or non-positive integers Remember that O(2n) = O(n),"268,287,448,770","Missing Number,Find the Duplicate Number,Find All Numbers Disappeared in an Array,Couples Holding Hands"
42,Trapping Rain Water,trapping-rain-water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. ","Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack",Hard,56.3,1933682,1089492,17879,252,,"11,238,407,756","Container With Most Water,Product of Array Except Self,Trapping Rain Water II,Pour Water"
43,Multiply Strings,multiply-strings,"Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string. Note: You must not use any built-in BigInteger library or convert the inputs to integer directly. ","Math,String,Simulation",Medium,37.6,1334465,502405,4286,1685,,"2,66,67,415","Add Two Numbers,Plus One,Add Binary,Add Strings"
44,Wildcard Matching,wildcard-matching,"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where: The matching should cover the entire input string (not partial). ","String,Dynamic Programming,Greedy,Recursion",Hard,26.5,1428005,378580,4548,204,,10,Regular Expression Matching
45,Jump Game II,jump-game-ii,"Given an array of non-negative integers nums, you are initially positioned at the first index of the array. Each element in the array represents your maximum jump length at that position. Your goal is to reach the last index in the minimum number of jumps. You can assume that you can always reach the last index. ","Array,Dynamic Programming,Greedy",Medium,37.0,1576789,583374,7769,291,,"55,1428,2001","Jump Game,Jump Game III,Jump Game VII"
46,Permutations,permutations,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order. ","Array,Backtracking",Medium,72.1,1572570,1133403,9957,181,,"31,47,60,77","Next Permutation,Permutations II,Permutation Sequence,Combinations"
47,Permutations II,permutations-ii,"Given a collection of numbers, nums, that might contain duplicates, return all possible unique permutations in any order. ","Array,Backtracking",Medium,54.0,1105821,596907,4794,90,,"31,46,267,1038","Next Permutation,Permutations,Palindrome Permutation II,Number of Squareful Arrays"
48,Rotate Image,rotate-image,"You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation. ","Array,Math,Matrix",Medium,66.4,1295324,860014,8777,473,,2015,Determine Whether Matrix Can Be Obtained By Rotation
49,Group Anagrams,group-anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. ","Hash Table,String,Sorting",Medium,64.0,2043076,1307071,8945,308,,"242,249","Valid Anagram,Group Shifted Strings"
50,"Pow(x, n)",powx-n,"Implement pow(x, n), which calculates x raised to the power n (i.e., xn). ","Math,Recursion",Medium,32.3,2733809,883674,4323,5309,,"69,372","Sqrt(x),Super Pow"
51,N-Queens,n-queens,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively. ","Array,Backtracking",Hard,57.2,625138,357360,5603,152,,"52,1043","N-Queens II,Grid Illumination"
52,N-Queens II,n-queens-ii,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return the number of distinct solutions to the n-queens puzzle. ",Backtracking,Hard,66.1,327225,216188,1670,209,,51,N-Queens
53,Maximum Subarray,maximum-subarray,"Given an integer array nums, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. A subarray is a contiguous part of an array. ","Array,Divide and Conquer,Dynamic Programming",Easy,49.5,4544146,2249144,19877,969,,"121,152,697,1020,1849,1893","Best Time to Buy and Sell Stock,Maximum Product Subarray,Degree of an Array,Longest Turbulent Subarray,Maximum Absolute Sum of Any Subarray,Maximum Subarray Sum After One Operation"
54,Spiral Matrix,spiral-matrix,"Given an m x n matrix, return all elements of the matrix in spiral order. ","Array,Matrix,Simulation",Medium,41.2,1729035,713051,6929,818,"Well for some problems, the best way really is to come up with some algorithms for simulation. Basically, you need to simulate what the problem asks us to do. We go boundary by boundary and move inwards. That is the essential operation. First row, last column, last row, first column and then we move inwards by 1 and then repeat. That's all, that is all the simulation that we need. Think about when you want to switch the progress on one of the indexes. If you progress on i out of [i, j], you'd be shifting in the same column. Similarly, by changing values for j, you'd be shifting in the same row.
Also, keep track of the end of a boundary so that you can move inwards and then keep repeating. It's always best to run the simulation on edge cases like a single column or a single row to see if anything breaks or not.","59,921","Spiral Matrix II,Spiral Matrix III"
55,Jump Game,jump-game,"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise. ","Array,Dynamic Programming,Greedy",Medium,37.7,2575216,971160,10627,612,,"45,1428,2001","Jump Game II,Jump Game III,Jump Game VII"
56,Merge Intervals,merge-intervals,"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input. ","Array,Sorting",Medium,44.8,3102911,1390388,13083,513,,"57,252,253,495,616,715,761,768,1028,2297,2319","Insert Interval,Meeting Rooms,Meeting Rooms II,Teemo Attacking,Add Bold Tag in String,Range Module,Employee Free Time,Partition Labels,Interval List Intersections,Amount of New Area Painted Each Day,Longest Substring of One Repeating Character"
57,Insert Interval,insert-interval,"You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval. Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion. ",Array,Medium,37.3,1314450,490838,4631,334,,"56,715","Merge Intervals,Range Module"
58,Length of Last Word,length-of-last-word,"Given a string s consisting of some words separated by some number of spaces, return the length of the last word in the string. A word is a maximal substring consisting of non-space characters only. ",String,Easy,37.4,1916299,716989,875,70,,,
59,Spiral Matrix II,spiral-matrix-ii,"Given a positive integer n, generate an n x n matrix filled with elements from 1 to n2 in spiral order. ","Array,Matrix,Simulation",Medium,64.7,549056,355230,3579,180,,"54,921","Spiral Matrix,Spiral Matrix III"
60,Permutation Sequence,permutation-sequence,"The set [1, 2, 3, ..., n] contains a total of n! unique permutations. By listing and labeling all of the permutations in order, we get the following sequence for n = 3: Given n and k, return the kth permutation sequence. ","Math,Recursion",Hard,42.0,633058,265892,3601,392,,"31,46","Next Permutation,Permutations"
61,Rotate List,rotate-list,"Given the head of a linked list, rotate the list to the right by k places. ","Linked List,Two Pointers",Medium,34.8,1566873,545760,4972,1265,,"189,725","Rotate Array,Split Linked List in Parts"
62,Unique Paths,unique-paths,"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner. The test cases are generated so that the answer will be less than or equal to 2 * 109. ","Math,Dynamic Programming,Combinatorics",Medium,59.9,1523012,912411,8532,294,,"63,64,174,2192","Unique Paths II,Minimum Path Sum,Dungeon Game,Minimum Cost Homecoming of a Robot in a Grid"
63,Unique Paths II,unique-paths-ii,"You are given an m x n integer array grid. There is a robot initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m-1][n-1]). The robot can only move either down or right at any point in time. An obstacle and space are marked as 1 or 0 respectively in grid. A path that the robot takes cannot include any square that is an obstacle. Return the number of possible unique paths that the robot can take to reach the bottom-right corner. The testcases are generated so that the answer will be less than or equal to 2 * 109. ","Array,Dynamic Programming,Matrix",Medium,37.5,1331781,499048,4533,371,"The robot can only move either down or right. Hence any cell in the first row can only be reached from the cell left to it. However, if any cell has an obstacle, you don't let that cell contribute to any path. So, for the first row, the number of ways will simply be 


if obstacleGrid[i][j] is not an obstacle
     obstacleGrid[i,j] = obstacleGrid[i,j - 1] 
else
     obstacleGrid[i,j] = 0


You can do a similar processing for finding out the number of ways of reaching the cells in the first column. For any other cell, we can find out the number of ways of reaching it, by making use of the number of ways of reaching the cell directly above it and the cell to the left of it in the grid. This is because these are the only two directions from which the robot can come to the current cell. Since we are making use of pre-computed values along the iteration, this becomes a dynamic programming problem.


if obstacleGrid[i][j] is not an obstacle
     obstacleGrid[i,j] = obstacleGrid[i,j - 1]  + obstacleGrid[i - 1][j]
else
     obstacleGrid[i,j] = 0","62,1022","Unique Paths,Unique Paths III"
